22.9,4933
25.2,4494
29.7,3686
30,3655
35.2,2921
39.8,2412
44.5,1985
49.4,1634
54.3,1351
59.4,1119
69.5,768
90,389
100,287
120,165
130,127
140,99
150,79
160,63
